ID;Formula;Compound Name;A;B;C;TMIN;TMAX
238;C6H5F;fluorobenzene;7;1382;236;-23;97
239;C6H5I;iodobenzene;7;1640;209;17;197
240;C6H6;benzene;7;1211;221;-16;104
241;C6H6O;phenol;7;1516;175;72;208
242;C6H6S;benzenethiol;7;1529;203;52;198
243;C6H7N;2-picoline;7;1416;212;79;169
244;C6H7N;3-picoline;7;1482;211;74;185
245;C6H7N;aniline;7;1675;200;67;227
246;C6H10;1-hexyne;7;1195;225;-8;118
247;C6H10;cyclohexene;7;1222;223;27;87
248;C6H10;1-methylcyclopentene;7;1200;225;-5;130
249;C6H10;3-methylcyclopentene;7;1166;227;-10;119
250;C6H10;4-methylcyclopentene;7;1198;225;-2;130
251;C6H10O;cyclohexanone;7;1496;210;90;166
252;C6H12;1-hexene;7;1153;226;-29;87
253;C6H12;2-hexene,cis;7;1259;234;-25;92
254;C6H12;2-hexene,trans;7;1173;225;-25;91
255;C6H12;3-hexene,cis;7;1164;225;-27;90
256;C6H12;3-hexene,trans;7;1181;225;-26;90
257;C6H12;2-methyl-1-pentene;7;1139;225;-30;85
258;C6H12;3-methyl-1-pentene;7;1086;226;-37;77
259;C6H12;4-methyl-1-pentene;7;1121;230;-38;77
260;C6H12;2-methyl-2-pentene;7;1184;226;-26;90
261;C6H12;3-methyl-2-pentene,cis;7;1186;227;-26;91
262;C6H12;3-methyl-2-pentene,trans;7;1195;225;-23;94
263;C6H12;4-methyl-2-pentene,cis;7;1121;227;-35;79
264;C6H12;4-methyl-2-pentene,trans;7;1143;227;-33;81
265;C6H12;2-ethyl-1-butene;7;1218;231;-28;88
266;C6H12;2,3-dimethyl-1-butene;7;1135;229;-36;78
267;C6H12;3,3-dimethyl-1-butene;7;1011;225;-47;64
268;C6H12;2,3-dimethyl-2-butene;7;1215;225;-21;97
269;C6H12;cyclohexane;7;1202;223;6;105
270;C6H12;methylcyclopentane;7;1186;226;-24;96
271;C6H12O;cyclohexanol;6;913;109;94;161
272;C6H12O;hexanal;7;1316;215;64;156
273;C6H12S;thiacycloheptane;7;1422;212;78;169
274;C6H14;hexane;7;1169;224;-25;92
275;C6H14;2-methylpentane;7;1135;227;-32;83
276;C6H14;3-methylpentane;7;1152;227;-29;89
277;C6H14;2,2-dimethylbutane;7;1081;229;-41;73
278;C6H14;2,3-dimethylbutane;7;1127;229;-35;81
279;C6H14O;propyl-ether;7;1257;219;26;89
280;C6H14O;isopropyl-ether;7;1258;230;-24;91
281;C6H14O;hexyl-alcohol;8;1761;197;35;157
282;C6H14S;butyl-ethyl-sulfide;7;1421;206;33;172
283;C6H14S;isopropyl-sulfide;7;1327;213;13;147
284;C6H14S;methyl-pentyl-sulfide;7;1413;206;70;153
285;C6H14S;propyl-sulfide;7;1413;206;32;170
286;C6H14S;1-hexanethiol;7;1454;205;40;181
287;C6H14S2;propyl-disulfide;7;1604;196;73;226
288;C6H15N;triethylamine;7;1252;222;-13;127
289;C7H5F3;a,a,a-trifluorotoluene;7;1306;217;55;139
290;C7H5N;benzonitrile;8;2111;245;28;191
291;C7H6O2;benzoic-acid;7;1820;148;132;287
292;C7H7F;p-fluorotoluene;7;1374;217;68;155
293;C7H8;toluene;7;1345;219;6;136
294;C7H8;1,3,5-cycloheptatriene;7;1377;221;0;65
295;C7H8O;m-cresol;8;1856;199;97;207
296;C7H8O;o-cresol;7;1436;165;97;207
297;C7H8O;p-cresol;7;1511;162;97;207
298;C7H12;1-heptyne;7;1217;220;14;142
299;C7H14;1-heptene;7;1258;219;-6;118
300;C7H14;cycloheptane;7;1332;216;57;162
301;C7H14;ethylcyclopentane;7;1299;221;-3;129
302;C7H14;1,1-dimethylcyclopentane;7;1219;222;-12;113
303;C7H14;c-1,2-dimethylcyclopentane;7;1269;220;-3;125
304;C7H14;t-1,2-dimethylcyclopentane;7;1243;222;-9;117
305;C7H14;c-1,3-dimethylcyclopentane;7;1237;222;-10;116
306;C7H14;t-1,3-dimethylcyclopentane;7;1240;222;-9;117
307;C7H14;methylcyclohexane;7;1271;221;-3;127
308;C7H14O;heptanal;5;686;112;12;155
309;C7H16;heptane;7;1264;217;-2;123
310;C7H16;2-methylhexane;7;1236;220;-9;115
311;C7H16;3-methylhexane;7;1240;219;-8;117
312;C7H16;3-ethylpentane;7;1252;220;-7;118
313;C7H16;2,2-dimethylpentane;7;1190;223;-19;104
314;C7H16;2,3-dimethylpentane;7;1238;222;-10;115
315;C7H16;2,4-dimethylpentane;7;1192;222;-17;105
316;C7H16;3,3-dimethylpentane;7;1229;225;-14;111
317;C7H16;2,2,3-trimethylbutane;7;1201;226;-19;106
318;C7H16O;isopropyl-tert-butyl-ether;7;1258;230;41;134
319;C7H16O;heptyl-alcohol;7;1141;127;60;176
320;C7H16S;butyl-propyl-sulfide;7;1421;206;99;203
321;C7H16S;ethyl-pentyl-sulfide;7;1421;206;99;203
322;C7H16S;hexyl-methyl-sulfide;7;1421;206;99;203
323;C7H16S;1-heptanethiol;7;1525;198;59;206
324;C8H6;ethynylbenzene;7;1446;209;82;172
325;C8H8;styrene;7;1446;209;32;187
326;C8H8;1,3,5,7-cyclooctatetraene;7;1472;216;0;75
327;C8H10;ethylbenzene;7;1424;213;26;163
328;C8H10;m-xylene;7;1462;215;28;166
329;C8H10;o-xylene;7;1475;214;32;172
330;C8H10;p-xylene;7;1453;215;27;166
331;C8H14;1-octyne;7;1414;215;25;170
332;C8H16;1-octene;7;1353;213;15;148
333;C8H16;cyclooctane;7;1438;210;94;197
334;C8H16;propylcyclopentane;7;1384;213;21;158
335;C8H16;ethylcyclohexane;7;1382;215;21;160
336;C8H16;1,1-dimethylcyclohexane;7;1322;218;10;147
337;C8H16;c-1,2-dimethylcyclohexane;7;1367;216;18;158
338;C8H16;t-1,2-dimethylcyclohexane;7;1354;219;13;151
339;C8H16;c-1,3-dimethylcyclohexane;7;1338;218;11;147
340;C8H16;t-1,3-dimethylcyclohexane;7;1344;215;15;152
341;C8H16;c-1,4-dimethylcyclohexane;7;1346;216;15;152
342;C8H16;t-1,4-dimethylcyclohexane;7;1330;219;10;147
343;C8H16O;octanal;13;3978;245;73;169
344;C8H18;octane;7;1350;209;19;152
345;C8H18;2-methylheptane;7;1337;214;12;144
346;C8H18;3-methylheptane;7;1332;212;13;145
347;C8H18;4-methylheptane;7;1328;213;12;144
348;C8H18;3-ethylhexane;7;1328;213;13;145
349;C8H18;2,2-dimethylhexane;7;1274;215;3;133
350;C8H18;2,3-dimethylhexane;7;1316;214;10;142
351;C8H18;2,4-dimethylhexane;7;1288;215;5;135
352;C8H18;2,5-dimethylhexane;7;1287;214;5;135
353;C8H18;3,3-dimethylhexane;7;1308;217;6;138
354;C8H18;3,4-dimethylhexane;7;1330;215;11;144
355;C8H18;3-ethyl-2-methylpentane;7;1318;215;9;142
356;C8H18;3-ethyl-3-methylpentane;7;1347;220;10;145
357;C8H18;2,2,3-trimethylpentane;7;1295;218;4;136
358;C8H18;2,2,4-trimethylpentane;7;1258;221;-4;125
359;C8H18;2,3,3-trimethylpentane;7;1328;220;7;142
360;C8H18;2,3,4-trimethylpentane;7;1315;218;7;140
361;C8H18;2,2,3,3-tetramethylbutane;7;1330;226;103;133
362;C8H18O;butyl-ether;7;1432;207;32;182
363;C8H18O;sec-butyl-ether;7;1349;224;57;149
364;C8H18O;tert-butyl-ether;7;1349;224;4;109
365;C8H18O;octyl-alcohol;7;1311;136;70;195
366;C8H18S;butyl-sulfide;7;1421;206;106;215
367;C8H18S;ethyl-hexyl-sulfide;6;1421;206;115;231
368;C8H18S;heptyl-methyl-sulfide;6;1421;206;115;231
369;C8H18S;pentyl-propyl-sulfide;6;1421;206;115;231
370;C8H18S;1-octanethiol;7;1593;191;76;229
371;C8H18S2;butyl-disulfide;7;1684;181;101;263
372;C9H10;alpha-methylstyrene;7;1583;206;75;220
373;C9H10;propenylbenzene,cis;7;1909;239;18;179
374;C9H10;propenylbenzene,trans;8;1909;239;105;197
375;C9H10;m-methylstyrene;7;1471;200;72;250
376;C9H10;o-methylstyrene;7;1485;200;75;255
377;C9H10;p-methylstyrene;7;1535;201;68;170
378;C9H12;propylbenzene;7;1491;207;43;188
379;C9H12;cumene;7;1461;208;38;181
380;C9H12;m-ethyltoluene;7;1529;209;46;190
381;C9H12;o-ethyltoluene;7;1535;207;48;194
382;C9H12;p-ethyltoluene;7;1527;209;46;191
383;C9H12;1,2,3-trimethylbenzene;7;1594;207;57;205
384;C9H12;1,2,4-trimethylbenzene;7;1573;209;52;198
385;C9H12;mesitylene;7;1570;210;49;193
386;C9H16;1-nonyne;7;1405;210;50;223
387;C9H18;1-nonene;7;1435;206;36;174
388;C9H18;butylcyclopentane;7;1457;206;41;185
389;C9H18;propylcyclohexane;7;1461;208;40;186
390;C9H18;c-c-135trimethylcyclohexane;7;1461;208;78;164
391;C9H18;c-t-135trimethylcyclohexane;7;1461;208;80;166
392;C9H18O;nonanal;8;2037;227;33;185
393;C9H20;nonane;7;1429;202;39;179
394;C9H20;2-methyloctane;7;1398;204;33;171
395;C9H20;3-methyloctane;7;1406;205;33;172
396;C9H20;4-methyloctane;7;1399;205;32;170
397;C9H20;3-ethylheptane;7;1407;207;32;171
398;C9H20;4-ethylheptane;7;1400;207;30;169
399;C9H20;2,2-dimethylheptane;7;1364;208;24;160
400;C9H20;2,3-dimethylheptane;7;1390;207;29;168
401;C9H20;2,4-dimethylheptane;7;1369;207;24;160
402;C9H20;2,5-dimethylheptane;7;1375;207;27;163
403;C9H20;2,6-dimethylheptane;7;1368;206;26;162
404;C9H20;3,3-dimethylheptane;7;1385;210;26;165
405;C9H20;3,4-dimethylheptane;7;1397;208;29;168
406;C9H20;3,5-dimethylheptane;7;1383;208;26;163
407;C9H20;4,4-dimethylheptane;7;1379;210;24;163
408;C9H20;3-ethyl-2-methylhexane;7;1390;209;27;166
409;C9H20;4-ethyl-2-methylhexane;7;1376;209;25;161
410;C9H20;3-ethyl-3-methylhexane;7;1407;211;28;169
411;C9H20;3-ethyl-4-methylhexane;7;1404;210;29;168
412;C9H20;2,2,3-trimethylhexane;7;1376;212;23;161
413;C9H20;2,2,4-trimethylhexane;7;1341;211;18;154
414;C9H20;2,2,5-trimethylhexane;7;1324;211;16;151
415;C9H20;2,3,3-trimethylhexane;7;1390;212;25;166
416;C9H20;2,3,4-trimethylhexane;7;1387;210;27;167
417;C9H20;2,3,5-trimethylhexane;7;1359;209;22;159
418;C9H20;2,4,4-trimethylhexane;7;1369;214;20;158
419;C9H20;3,3,4-trimethylhexane;7;1404;213;27;169
420;C9H20;3,3-diethylpentane;7;1451;216;31;175
421;C9H20;3-ethyl-2,2-dimethylpentane;7;1383;213;23;162
422;C9H20;3-ethyl-2,3-dimethylpentane;7;1418;213;30;174
423;C9H20;3-ethyl-2,4-dimethylpentane;7;1381;211;25;165
424;C9H20;2,2,3,3-tetramethylpentane;7;1397;214;26;169
425;C9H20;2,2,3,4-tetramethylpentane;7;1374;215;21;161
426;C9H20;2,2,4,4-tetramethylpentane;7;1325;216;13;150
427;C9H20;2,3,3,4-tetramethylpentane;7;1417;215;27;170
428;C9H20O;nonyl-alcohol;7;1277;123;90;214
429;C9H20S;butyl-pentyl-sulfide;6;1421;206;129;258
430;C9H20S;ethyl-heptyl-sulfide;6;1421;206;129;258
431;C9H20S;hexyl-propyl-sulfide;6;1421;206;129;258
432;C9H20S;methyl-octyl-sulfide;6;1421;206;129;258
433;C9H20S;1-nonanethiol;7;1656;184;93;251
434;C10H8;naphthalene;7;1734;202;87;250
435;C10H8;azulene;7;1734;202;160;278
436;C10H14;butylbenzene;7;1578;201;62;213
437;C10H14;m-diethylbenzene;7;1575;201;61;211
438;C10H14;o-diethylbenzene;7;1577;201;63;213
439;C10H14;p-diethylbenzene;7;1588;202;63;214
440;C10H14;1,2,3,4-tetramethylbenzene;7;1691;199;80;236
441;C10H14;1,2,3,5-tetramethylbenzene;7;1675;201;75;228
442;C10H14;1,2,4,5-tetramethylbenzene;7;1672;201;74;227
443;C10H18;1-decyne;7;1607;206;78;246
444;C10H18;decahydronaphthalene,cis;7;1594;203;68;228
445;C10H18;decahydronaphthalene,trans;7;1565;206;61;219
446;C10H20;1-decene;7;1502;198;54;199
447;C10H20;1-cyclopentylpentane;7;1541;199;60;210
448;C10H20;butylcyclohexane;7;1539;201;59;211
449;C10H20O;decanal;8;2378;238;52;209
450;C10H22;decane;7;1509;195;58;203
451;C10H22;2-methylnonane;7;1473;196;52;196
452;C10H22;3-methylnonane;7;1479;198;52;197
453;C10H22;4-methylnonane;7;1471;198;50;194
454;C10H22;5-methylnonane;7;1468;199;50;194
455;C10H22;3-ethyloctane;7;1477;199;50;195
456;C10H22;4-ethyloctane;7;1467;200;48;192
457;C10H22;2,2-dimethyloctane;7;1440;201;43;185
458;C10H22;2,3-dimethyloctane;7;1462;200;48;193
459;C10H22;2,4-dimethyloctane;7;1440;200;43;184
460;C10H22;2,5-dimethyloctane;7;1443;200;44;187
461;C10H22;2,6-dimethyloctane;7;1451;199;45;187
462;C10H22;2,7-dimethyloctane;7;1444;198;46;188
463;C10H22;3,3-dimethyloctane;7;1458;203;45;190
464;C10H22;3,4-dimethyloctane;7;1466;201;47;192
465;C10H22;3,5-dimethyloctane;7;1449;201;44;188
466;C10H22;3,6-dimethyloctane;7;1457;201;46;189
467;C10H22;4,4-dimethyloctane;7;1447;204;42;186
468;C10H22;4,5-dimethyloctane;7;1461;202;46;191
469;C10H22;4-propylheptane;7;1459;201;44;186
470;C10H22;4-isopropylheptane;7;1450;203;43;188
471;C10H22;3-ethyl-2-methylheptane;7;1458;202;45;190
472;C10H22;4-ethyl-2-methylheptane;7;1438;202;42;185
473;C10H22;5-ethyl-2-methylheptane;7;1449;201;44;188
474;C10H22;3-ethyl-3-methylheptane;7;1473;205;46;193
475;C10H22;4-ethyl-3-methylheptane;7;1464;203;45;191
476;C10H22;3-ethyl-5-methylheptane;7;1455;202;44;187
477;C10H22;3-ethyl-4-methylheptane;7;1467;203;46;192
478;C10H22;4-ethyl-4-methylheptane;7;1465;205;44;190
479;C10H22;2,2,3-trimethylheptane;7;1446;204;42;187
