ID;Formula;Compound Name;A;B;C;TMIN;TMAX
580;C13H14;2ethyl-3-methylnaphthalene;7;1896;180;196;312
581;C13H14;2ethyl-6-methylnaphthalene;7;1896;180;192;303
582;C13H14;2ethyl-7-methylnaphthalene;7;1896;180;192;303
583;C13H20;1-phenylheptane;7;1761;182;112;279
584;C13H24;1-tridecyne;7;1834;195;120;308
585;C13H26;1-tridecene;7;1675;175;105;264
586;C13H26;1-cyclopentyloctane;7;1730;177;112;276
587;C13H26;1-cyclohexylheptane;7;1743;181;111;278
588;C13H28;tridecane;7;1691;174;107;267
589;C13H28O;1-tridecanol;7;2003;168;202;304
590;C13H28S;butyl-nonyl-sulfide;6;1421;206;177;355
591;C13H28S;decyl-propyl-sulfide;6;1421;206;177;355
592;C13H28S;dodecyl-methyl-sulfide;6;1421;206;177;355
593;C13H28S;ethyl-undecyl-sulfide;6;1421;206;177;355
594;C13H28S;1-tridecanethiol;7;1865;158;151;325
595;C14H16;1-butylnaphthalene;5;657;26;139;292
596;C14H16;2-butylnaphthalene;7;1591;139;145;291
597;C14H22;1-phenyloctane;7;1812;175;127;298
598;C14H22;1,2,3,4-tetraethylbenzene;8;2313;236;66;248
599;C14H22;1,2,3,5-tetraethylbenzene;8;2313;236;174;282
600;C14H22;1,2,4,5-tetraethylbenzene;8;2313;236;174;282
601;C14H26;1-tetradecyne;7;1928;191;145;326
602;C14H28;1-tetradecene;7;1745;170;119;283
603;C14H28;1-cyclopentylnonane;7;1779;170;126;296
604;C14H28;1-cyclohexyloctane;7;1799;174;126;298
605;C14H30;tetradecane;7;1741;168;122;286
606;C14H30O;1-tetradecanol;7;1205;54;130;264
607;C14H30S;butyl-decyl-sulfide;6;1421;206;187;376
608;C14H30S;dodecyl-ethyl-sulfide;6;1421;206;187;376
609;C14H30S;heptyl-sulfide;6;1421;206;187;376
610;C14H30S;methyl-tridecyl-sulfide;6;1421;206;187;376
611;C14H30S;propyl-undecyl-sulfide;6;1421;206;187;376
612;C14H30S;1-tetradecanethiol;7;1909;152;164;341
613;C14H30S2;heptyl-disulfide;7;1879;140;175;357
614;C15H18;1-pentylnaphthalene;7;2000;170;185;360
615;C15H18;2-pentylnaphthalene;7;2006;170;190;370
616;C15H24;1-phenylnonane;7;1863;168;142;316
617;C15H28;1-pentadecyne;7;1972;188;140;349
618;C15H30;1-pentadecene;7;1782;163;134;302
619;C15H30;1-cyclopentyldecane;7;1826;163;141;314
620;C15H30;1-cyclohexylnonane;7;1850;168;141;316
621;C15H32;pentadecane;7;1790;161;136;304
622;C15H32O;1-pentadecanol;6;1205;54;230;339
623;C15H32S;butyl-undecyl-sulfide;6;1421;206;196;397
624;C15H32S;dodecyl-propyl-sulfide;6;1421;206;196;397
625;C15H32S;ethyl-tridecyl-sulfide;6;1421;206;196;397
626;C15H32S;methyl-tetradecyl-sulfide;6;1421;206;196;397
627;C15H32S;1-pentadecanethiol;7;1951;146;176;356
628;C16H26;1-phenyldecane;7;1904;160;155;333
629;C16H26;pentaethylbenzene;8;2973;272;86;277
630;C16H30;1-hexadecyne;7;2155;185;172;367
631;C16H32;1-hexadecene;7;1844;158;147;319
632;C16H32;1-cyclopentylundecane;7;1869;156;154;330
633;C16H32;1-cyclohexyldecane;7;1899;161;154;333
634;C16H34;hexadecane;7;1831;154;149;321
635;C16H34O;1-hexadecanol;6;1380;91;145;190
636;C16H34S;butyl-dodecyl-sulfide;5;1421;206;204;416
637;C16H34S;ethyl-tetradecyl-sulfide;5;1421;206;204;416
638;C16H34S;methyl-pentadecyl-sulfide;5;1421;206;204;416
639;C16H34S;octyl-sulfide;5;1421;206;204;416
640;C16H34S;propyl-tridecyl-sulfide;5;1421;206;204;416
641;C16H34S;1-hexadecanethiol;7;1990;140;188;370
642;C16H34S2;octyl-disulfide;7;1936;129;196;383
643;C17H28;1-phenylundecane;7;1944;153;168;349
644;C17H32;1-heptadecyne;7;2216;182;184;384
645;C17H34;1-heptadecene;7;1878;152;159;335
646;C17H34;1-cyclopentyldodecane;7;1909;149;168;346
647;C17H34;1-cyclohexylundecane;7;1940;155;167;349
648;C17H36;heptadecane;7;1865;149;161;337
649;C17H36O;1-heptadecanol;7;1595;85;191;383
650;C17H36S;butyl-tridecyl-sulfide;5;1421;206;212;434
651;C17H36S;ethyl-pentadecyl-sulfide;5;1421;206;212;434
652;C17H36S;hexadecyl-methyl-sulfide;5;1421;206;212;434
653;C17H36S;propyl-tetradecyl-sulfide;5;1421;206;212;434
654;C17H36S;1-heptadecanethiol;7;2027;135;198;384
655;C18H30;1-phenyldodecane;7;1982;146;181;363
656;C18H30;hexaethylbenzene;8;2361;213;134;298
657;C18H34;1-octadecyne;8;2281;180;196;400
658;C18H36;1-octadecene;7;1918;146;171;350
659;C18H36;1-cycopentyltridecane;7;1947;142;180;361
660;C18H36;1-cyclohexyldodecane;7;1977;148;179;364
